TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20230101,90,3.0,2583,29,8.7,2,32,13.2,10,3.2,7.3,1346,0.3,2315,-17.9,0.7,-8.4,21.8,11.0,2107,1.7,-9.0,-9.0,-9.0,1023.9,1026.1,1028.1,2231,1024.4,308,0.4,8.8,9.6,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,93,1.3,1113,29,5.3,1408,27,11.9,1410,-3.2,4.6,1351,-9.0,822,-11.8,-3.7,-11.4,59.5,18.0,1444,2.7,2.0,1.4,-9.0,1018.4,1030.8,1033.1,2307,1028.6,1356,0.8,8.6,9.6,-9.0,10.96,1.86,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,1.5,1,1.3,5.1,8.6,15.4,17.3
20230101,95,1.1,987,20,3.2,100,27,6.4,1401,-4.0,1.9,1409,-11.5,2333,-11.8,-0.2,-5.3,60.3,22.0,1417,2.6,1.6,1.1,-9.0,1011.8,1031.9,1034.7,2306,1029.6,106,0.6,8.2,9.6,-9.0,10.57,1.75,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,98,1.2,1007,29,5.3,1634,29,8.5,1428,-2.6,3.8,1427,-6.5,742,-11.9,-1.3,-7.5,55.5,22.0,1453,2.7,1.9,1.4,-9.0,1016.8,1031.7,1034.2,2328,1029.7,124,1.8,8.5,9.6,-9.0,10.7,1.92,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,99,0.9,816,32,4.5,1353,32,7.7,1350,-4.3,2.5,1256,-10.7,821,-11.0,-2.2,-11.1,64.1,30.0,1703,2.7,1.6,1.1,-9.0,1028.5,1032.5,1034.8,2236,1030.4,49,0.6,8.5,9.6,-9.0,10.26,1.8,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,100,5.9,5072,27,10.0,43,27,16.5,12,-3.6,0.1,1408,-7.6,2352,-17.5,-4.6,-9.5,36.6,17.0,2118,1.7,3.1,2.1,-9.0,933.7,1028.6,1031.8,2344,1026.2,1439,2.3,0.0,9.6,-9.0,11.22,2.04,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,101,1.0,822,25,3.5,1453,29,5.8,1512,-2.6,6.2,1419,-8.1,812,-10.4,-1.9,-12.9,62.1,21.0,1426,2.9,1.7,1.2,-9.0,1020.5,1030.3,1032.7,2307,1028.5,1400,0.6,7.8,9.6,-9.0,9.22,1.72,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.0,6.6,10.4,15.8,17.8
20230101,102,6.4,5541,34,10.1,2320,34,14.1,2318,0.8,4.2,1,-0.8,1828,-8.0,0.7,-2.9,52.4,39.0,1134,3.4,3.3,2.3,-9.0,1027.4,1032.0,1033.9,2202,1028.9,129,2.1,9.0,9.6,-9.0,10.85,1.95,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230101,104,2.1,1829,29,6.3,1251,29,11.3,1243,3.0,7.7,1316,-2.0,708,-14.9,-1.6,-9.9,29.6,11.0,2033,2.1,3.8,2.7,-9.0,1016.5,1026.0,1027.9,2326,1024.4,1332,0.0,8.8,9.6,-9.0,10.83,1.9,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,1.3,6.2,9.2,14.6,13.4
20230101,105,2.9,2538,27,4.9,1005,27,10.3,914,4.8,10.2,1516,1.0,2358,-11.4,1.8,-7.2,31.6,19.0,1521,2.7,3.8,2.7,-9.0,1023.1,1026.5,1028.8,2356,1024.8,1338,1.6,8.9,9.6,-9.0,9.85,1.74,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.7,6.6,9.9,15.6,17.3
