TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20221001,90,1.4,1230,14,3.6,1444,14,4.8,1413,23.4,29.9,1319,18.1,652,11.7,23.7,13.3,48.9,22.0,1027,14.0,-9.0,-9.0,-9.0,1013.8,1015.8,1017.3,2321,1013.6,8,2.9,10.1,11.8,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,93,0.7,614,2,1.8,1746,7,3.1,1813,17.2,25.7,1605,12.2,107,14.0,21.9,9.1,84.9,39.0,1415,16.0,3.3,2.3,4.0,1007.7,1019.0,1021.1,857,1016.8,1641,8.6,4.9,11.8,-9.0,13.5,2.84,1200,-9.0,0.1,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,21.8,22.6,22.7,22.7,20.7
20221001,95,0.6,535,23,2.1,1548,23,4.7,1436,17.1,26.3,1403,8.9,545,12.6,19.2,5.1,78.9,39.0,1303,14.7,4.2,2.9,-9.0,1000.6,1018.8,1020.8,840,1016.7,1640,6.4,9.2,11.8,-9.0,18.15,2.8,1200,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,98,0.4,366,25,2.3,1539,23,4.4,1531,18.1,26.8,1331,10.6,636,13.1,21.0,6.3,75.6,36.0,1248,15.2,3.8,2.7,-9.0,1004.6,1018.2,1020.0,829,1016.4,1602,6.4,8.8,11.8,-9.0,17.24,2.74,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,99,0.4,319,32,1.5,1252,23,3.6,1351,17.2,25.3,1354,11.1,131,15.8,21.8,9.1,92.3,42.0,1358,18.3,2.0,1.4,-9.0,1015.1,1018.7,1020.1,744,1017.4,1555,7.8,3.5,11.8,-9.0,8.34,2.7,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,100,1.0,867,27,3.3,1317,27,5.8,1259,14.5,25.5,1411,5.1,613,7.7,20.2,1.3,71.5,24.0,1453,10.7,4.9,3.4,-9.0,931.4,1019.4,1022.5,657,1014.6,1415,2.9,9.9,11.8,-9.0,19.48,2.86,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,101,1.0,834,32,2.3,247,25,3.9,1419,18.2,26.3,1543,13.4,200,15.5,21.7,8.5,87.1,48.0,1509,17.7,2.9,2.0,-9.0,1010.0,1018.9,1021.1,900,1016.7,1543,8.1,5.3,11.8,-9.0,13.32,2.68,1200,-9.0,0.2,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.2,23.2,23.4,22.0,18.7
20221001,102,1.5,1316,18,2.9,1509,16,4.0,1057,18.2,21.1,1129,14.7,2307,16.0,21.7,11.6,88.0,71.0,1157,18.2,2.9,2.1,-9.0,1012.5,1016.7,1018.4,952,1015.2,28,8.6,6.2,11.8,-9.0,15.14,2.52,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221001,104,1.3,1113,20,2.5,606,20,4.4,604,22.5,29.8,1151,18.3,314,9.1,21.8,10.1,45.3,24.0,1432,11.7,5.4,3.8,-9.0,1007.1,1015.7,1017.1,2347,1013.9,1,2.8,10.3,11.8,-9.0,19.29,2.82,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.6,20.6,21.1,19.4,15.2
20221001,105,2.3,2025,29,3.8,628,32,6.5,9,24.8,32.8,1407,19.7,616,10.9,23.7,13.9,44.0,24.0,1414,13.2,7.0,4.9,-9.0,1013.0,1016.1,1017.5,2350,1014.2,1,2.6,9.9,11.8,-9.0,21.29,2.86,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,21.8,22.2,21.9,19.9,17.5
20221001,106,1.8,1528,16,3.0,1446,23,4.8,230,21.5,29.1,1048,16.2,640,9.9,23.4,10.3,50.0,24.0,1334,12.4,-9.0,-9.0,-9.0,1011.7,1016.4,1017.7,2306,1014.5,14,2.5,9.9,11.8,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
