TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250701,90,1.7,1431,27,5.7,1104,29,10.3,1059,29.5,32.8,957,26.2,1831,21.4,30.6,24.9,62.3,50.0,1035,25.6,5.9,4.1,-9.0,1008.4,1010.4,1011.5,1012,1009.0,1731,7.0,5.1,14.8,-9.0,14.93,1.9,900,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,93,1.3,1101,34,4.9,1625,34,8.2,1622,27.4,33.3,1517,22.9,211,24.5,29.3,21.8,85.4,62.0,1438,30.8,5.3,3.7,-9.0,1001.5,1012.4,1013.7,1009,1011.1,1751,5.4,5.6,14.8,-9.0,18.62,3.51,1300,1.5,1.5,3.58,1.1,917,0.9,1007,-9.0,-9,-9.0,-9,-9.0,-9,25.7,23.3,20.8,16.3,13.8
20250701,95,2.0,1733,20,3.5,1114,18,8.2,1054,27.5,31.4,1512,24.8,1,24.5,29.0,23.6,84.8,68.0,1443,30.8,5.4,3.8,-9.0,994.8,1012.3,1013.4,1011,1011.4,1650,5.1,6.2,14.8,-9.0,20.28,2.76,1400,0.9,0.1,-9.0,0.8,625,0.5,654,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,98,1.7,1452,25,4.4,1442,25,8.7,1620,27.3,31.2,1447,25.2,6,25.5,29.7,22.0,91.0,70.0,1443,32.7,4.4,3.1,-9.0,999.1,1012.2,1013.2,1010,1011.2,107,5.3,3.7,14.8,-9.0,16.57,2.68,1400,1.1,-9.0,-9.0,0.6,654,0.5,744,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,99,2.1,1795,27,4.4,1425,29,9.2,1437,26.7,30.3,1444,24.5,502,25.3,31.0,24.8,92.8,79.0,1410,32.3,5.4,3.8,-9.0,1009.4,1012.9,1013.8,1007,1012.0,1,4.6,5.9,14.8,-9.0,20.92,3.42,1300,1.9,-9.0,-9.0,1.5,451,0.6,521,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,100,4.9,4255,27,7.6,1157,25,13.2,1309,24.4,27.8,1351,22.2,242,21.0,24.5,20.7,81.8,67.0,1354,24.9,5.1,3.5,-9.0,927.8,1012.3,1013.6,714,1010.5,1711,5.9,7.7,14.7,-9.0,17.0,2.92,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,101,1.5,1270,20,3.7,1608,25,7.1,1522,27.5,33.1,1521,22.9,332,23.5,29.9,21.6,79.9,58.0,1510,28.9,5.8,4.1,-9.0,1003.1,1011.7,1013.0,1015,1010.2,1817,6.0,6.1,14.8,-9.0,21.15,3.25,1100,1.3,0.7,-9.0,0.9,827,0.5,917,-9.0,-9,-9.0,-9,-9.0,-9,25.3,21.8,19.4,16.1,15.2
20250701,102,3.7,3211,16,6.3,1708,16,8.9,1705,22.1,23.7,1438,20.7,2259,21.5,24.2,21.3,96.6,94.0,1518,25.6,1.8,1.3,15.42,1005.7,1009.9,1010.7,1009,1008.3,129,10.0,0.0,14.8,-9.0,7.82,0.9,1200,0.2,-9.0,6.75,0.2,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,104,2.1,1805,18,4.1,1222,16,9.3,1250,30.6,35.9,1245,28.3,135,22.8,33.5,23.8,63.8,46.0,1234,27.8,6.9,4.8,-9.0,1001.2,1009.6,1010.8,845,1007.9,1809,6.4,4.7,14.7,-9.0,18.19,3.86,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.0,22.2,19.5,15.0,13.3
20250701,105,2.7,2344,25,4.7,1135,25,9.9,1051,32.2,36.7,1334,29.7,430,23.0,35.2,25.9,58.6,45.0,1329,28.0,8.5,5.9,-9.0,1007.7,1010.7,1012.0,816,1009.2,1750,6.0,6.4,14.7,-9.0,20.08,3.61,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.1,24.0,19.0,14.7,13.8
20250701,106,1.7,1426,23,5.2,910,25,8.6,908,29.3,35.3,1350,25.5,455,21.8,34.2,22.7,65.4,45.0,1353,26.2,5.5,3.8,-9.0,1006.6,1011.2,1012.5,954,1010.1,1746,6.0,4.0,14.7,-9.0,15.34,2.24,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,108,3.0,2631,25,5.2,1526,25,8.7,1521,28.6,31.8,1336,26.2,729,24.4,27.8,25.2,78.6,67.0,1330,30.6,5.5,3.8,-9.0,1001.6,1011.3,1012.3,1003,1010.1,1743,7.0,3.8,14.7,-9.0,17.38,2.83,1300,0.9,0.0,3.67,0.9,610,0.9,700,-9.0,-9,-9.0,-9,-9.0,-9,24.9,22.3,20.7,16.3,14.0
20250701,112,3.0,2580,20,5.6,1156,20,9.3,857,26.7,29.0,1606,24.3,659,25.0,28.9,24.0,90.9,83.0,1414,31.7,4.9,3.4,-9.0,1004.6,1012.5,1013.2,1004,1011.2,46,8.3,5.2,14.7,-9.0,20.23,2.87,1100,0.7,0.0,4.58,0.7,600,0.4,649,-9.0,-9,-9.0,-9,-9.0,-9,23.5,21.6,19.2,15.6,13.5
20250701,114,1.3,1090,20,3.7,1311,23,6.4,1307,27.8,32.8,1316,25.1,459,24.2,28.8,21.6,81.9,62.0,1317,30.2,4.7,3.3,-9.0,995.0,1011.9,1013.0,1012,1010.1,1815,4.9,4.7,14.7,-9.0,17.7,2.66,1300,2.3,-9.0,-9.0,1.0,1901,0.7,2240,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,115,3.3,2830,25,6.2,508,25,10.2,2357,29.0,31.6,946,26.8,1,22.8,33.6,22.6,69.8,60.0,1004,27.8,7.1,4.9,-9.0,986.9,1011.6,1012.7,1157,1010.4,147,4.8,10.1,14.7,-9.0,22.22,2.97,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.3,19.0,17.5,13.2,13.0
20250701,119,2.1,1812,25,5.0,1634,23,8.6,1714,27.6,31.8,1626,25.4,412,23.9,29.6,23.8,81.1,65.0,1627,29.7,4.9,3.4,-9.0,1007.9,1012.4,1013.6,1017,1011.2,1730,6.1,4.4,14.7,-9.0,17.23,3.19,1300,2.3,1.8,3.42,1.8,1024,1.8,1114,-9.0,-9,-9.0,-9,-9.0,-9,25.1,21.8,19.4,15.0,13.2
20250701,121,1.1,938,27,3.8,1131,27,7.2,1610,26.8,33.3,1353,22.4,322,23.3,31.1,21.3,82.4,57.0,1403,28.6,4.9,3.5,-9.0,982.4,1009.4,1010.9,741,1007.7,1830,4.6,4.9,14.7,-9.0,18.32,3.2,1200,0.0,-9.0,-9.0,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,127,0.8,706,20,2.9,1301,16,5.5,1420,27.5,32.0,1404,24.1,522,24.0,28.8,23.0,82.1,63.0,1255,29.8,4.1,2.9,-9.0,999.0,1012.0,1013.3,1011,1010.5,1823,5.8,1.8,14.7,-9.0,14.89,2.37,1300,5.5,-9.0,-9.0,4.4,1527,2.1,1540,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,129,2.8,2460,18,5.6,1510,18,9.6,1508,26.8,30.2,1354,24.8,1,25.3,29.0,23.3,91.9,79.0,1355,32.2,4.1,2.9,-9.0,1009.9,1012.8,1013.7,1003,1011.9,1,4.0,2.5,14.6,-9.0,16.15,3.38,1300,0.8,0.7,-9.0,0.7,1019,0.3,1030,-9.0,-9,-9.0,-9,-9.0,-9,24.1,21.0,20.1,15.3,15.9
20250701,130,1.9,1634,16,5.5,1727,16,8.2,1724,29.3,35.2,1035,26.3,222,22.9,35.6,24.0,69.1,49.0,1036,27.9,-9.0,-9.0,-9.0,1006.1,1011.6,1012.6,926,1010.2,1713,3.9,10.0,14.7,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,131,1.6,1409,27,3.5,1443,27,6.8,1621,29.8,34.6,1607,26.3,512,23.0,32.0,24.3,67.4,54.0,1608,28.1,6.7,4.7,-9.0,1005.6,1012.2,1013.4,937,1010.5,1729,3.0,6.6,14.6,-9.0,21.23,2.87,1400,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,133,1.7,1456,20,4.2,1559,23,8.3,1553,29.0,33.7,1448,25.4,452,23.7,34.0,24.1,73.9,59.0,1450,29.3,6.1,4.3,-9.0,1005.2,1012.9,1014.1,944,1011.4,1717,3.4,7.4,14.6,-9.0,20.89,3.22,1400,0.0,0.0,0.17,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.8,24.9,22.6,18.7,16.5
20250701,135,1.5,1265,27,4.1,1400,27,6.8,1559,27.6,32.9,1549,22.2,514,22.8,30.8,22.2,76.8,58.0,1500,27.8,6.9,4.8,-9.0,985.0,1012.4,1013.7,723,1010.6,1737,3.8,9.5,14.6,-9.0,25.37,3.39,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,136,1.6,1417,29,4.4,1021,25,8.3,1018,29.0,34.5,1556,24.2,348,23.9,37.8,23.7,75.3,55.0,1446,29.6,7.5,5.3,-9.0,997.2,1013.1,1014.3,731,1011.3,1717,3.9,11.7,14.6,-9.0,28.67,3.53,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,137,0.9,785,23,2.5,1248,23,5.6,1241,29.1,34.0,1513,24.2,517,24.4,33.6,22.7,76.6,59.0,1356,30.5,6.0,4.2,-9.0,1000.8,1011.6,1013.0,941,1009.9,1734,4.4,8.2,14.6,-9.0,22.59,3.26,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20250701,138,2.6,2267,25,4.9,932,20,8.9,1231,31.4,35.8,1410,27.4,514,22.8,36.7,26.2,61.4,45.0,1356,27.8,8.7,6.1,-9.0,1011.2,1011.6,1013.0,801,1010.1,1739,2.1,10.2,14.6,-9.0,25.07,3.41,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,24.4,20.8,19.3,16.6,15.8
