TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20240701,90,2.3,1998,34,6.1,1735,2,10.5,1741,24.7,31.4,1124,20.5,148,20.9,26.0,19.7,80.3,53.0,1128,24.7,5.4,3.8,-9.0,1001.5,1003.5,1008.1,2306,999.4,31,3.8,10.6,14.8,-9.0,23.83,3.66,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,93,0.9,756,25,2.6,1230,27,4.7,1449,25.3,30.5,1642,21.7,542,21.8,28.5,21.0,82.3,58.0,1544,26.1,4.8,3.4,-9.0,993.3,1004.1,1006.5,2300,1001.4,7,6.5,6.1,14.8,-9.0,19.84,3.1,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.0,25.0,21.7,16.2,13.8
20240701,95,1.5,1325,36,3.1,2248,36,5.0,2226,24.4,28.8,1639,21.6,521,20.5,26.9,20.9,80.3,61.0,1604,24.2,4.5,3.2,-9.0,987.0,1004.5,1006.9,2248,1001.7,1,7.0,6.7,14.8,-9.0,18.5,2.93,1400,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,98,0.9,772,23,2.5,933,23,3.9,924,24.6,29.6,1530,21.5,302,21.3,27.5,20.6,83.0,58.0,1300,25.4,4.9,3.4,-9.0,990.9,1004.0,1006.0,2236,1001.6,1,6.0,7.9,14.8,-9.0,22.08,3.22,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,99,0.8,722,5,2.0,1628,27,4.2,41,24.6,29.6,1518,20.4,505,20.8,28.7,19.7,81.3,57.0,1414,24.5,5.6,3.9,-9.0,1001.2,1004.7,1006.6,2213,1002.2,1,5.6,8.4,14.8,-9.0,23.52,3.54,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,100,2.3,1985,25,3.7,1017,25,6.3,1009,21.5,26.9,1230,17.7,545,17.3,22.8,15.8,79.1,57.0,1202,19.8,5.0,3.5,-9.0,919.9,1004.3,1008.6,2342,1001.8,1230,3.8,10.6,14.7,-9.0,23.11,3.47,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,101,1.0,834,23,3.4,1033,25,4.5,1025,25.4,30.4,1634,21.0,549,19.9,28.3,20.4,73.9,50.0,1652,23.3,5.1,3.6,-9.0,995.1,1003.7,1006.2,2303,1001.2,1,4.8,6.1,14.8,-9.0,19.49,3.17,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.7,23.0,20.1,16.3,15.0
20240701,102,2.2,1864,16,4.5,1149,16,7.1,1244,21.5,24.3,1137,18.8,134,20.4,25.1,18.7,94.1,84.0,1138,24.1,3.0,2.1,6.82,998.6,1002.7,1004.7,2133,1000.5,43,9.4,0.4,14.8,-9.0,14.67,2.19,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,104,1.2,1056,11,3.5,1415,14,6.1,1413,25.1,31.0,1035,19.2,227,19.9,28.9,19.0,75.1,48.0,1029,23.2,7.1,5.0,-9.0,994.7,1003.2,1007.8,2334,999.5,14,1.9,13.6,14.7,-9.0,29.31,3.48,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,24.3,21.5,19.1,14.6,12.7
20240701,105,2.3,1949,27,4.8,1934,34,7.5,1920,27.2,32.4,1113,21.0,306,20.0,28.7,18.2,67.6,45.0,1348,23.4,7.7,5.4,-9.0,1000.4,1003.4,1008.1,2336,999.8,30,2.5,13.4,14.7,-9.0,27.83,3.35,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.2,23.1,20.0,15.6,14.2
20240701,106,1.7,1493,14,4.5,1100,2,7.5,2009,23.6,27.7,1129,18.8,306,20.0,28.7,17.3,81.3,60.0,932,23.4,6.4,4.5,-9.0,999.2,1003.8,1008.0,2345,1000.2,30,3.3,11.2,14.7,-9.0,28.49,3.49,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,108,1.8,1555,25,3.4,2052,27,5.2,1257,26.3,31.3,1537,22.0,506,19.8,28.6,20.2,69.1,47.0,1607,23.1,6.9,4.8,-9.0,993.9,1003.5,1005.4,2230,1001.4,6,5.5,8.3,14.7,-9.0,24.69,3.47,1200,-9.0,1.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.0,23.1,21.6,16.2,15.4
20240701,112,2.0,1733,25,4.4,1342,25,6.2,1454,24.5,27.6,1609,21.2,213,20.3,27.5,19.4,78.5,62.0,1714,23.8,6.7,4.7,-9.0,996.3,1004.1,1005.8,2216,1001.9,1,2.8,12.6,14.7,-9.0,28.48,3.43,1200,-9.0,2.9,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.9,22.7,19.9,15.9,13.5
20240701,114,1.0,869,27,2.4,1631,29,4.9,1629,25.4,30.0,1613,22.3,603,19.3,26.8,19.4,70.1,49.0,1614,22.4,5.3,3.7,-9.0,987.3,1004.1,1005.9,2230,1001.7,11,6.1,6.6,14.7,-9.0,19.73,2.94,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,115,2.0,1695,5,4.6,37,5,6.3,29,23.4,26.5,1412,20.2,231,21.6,28.6,20.1,89.9,77.0,1534,25.8,5.5,3.9,2.25,979.1,1004.0,1007.2,2252,1000.3,26,4.5,12.8,14.7,-9.0,27.71,3.32,1200,0.0,0.0,0.67,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,21.9,19.5,17.7,13.7,13.1
20240701,119,1.4,1205,29,3.3,1524,25,5.2,1900,25.0,30.4,1458,20.5,312,19.4,28.2,17.8,73.4,47.0,1351,22.6,6.8,4.8,-9.0,999.6,1004.1,1005.8,2207,1002.2,1,4.3,11.2,14.7,-9.0,26.89,3.52,1200,-9.0,3.4,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,24.7,22.9,20.6,15.5,13.3
20240701,121,0.7,641,27,2.5,1620,27,4.6,1513,24.5,30.1,1251,20.0,441,19.6,26.9,17.2,76.3,50.0,1537,22.8,-9.0,-9.0,-9.0,977.1,1004.0,1006.6,2306,1001.7,3,4.6,9.4,14.7,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,127,1.0,854,29,2.7,1538,27,4.9,1533,25.3,30.7,1610,20.9,446,19.6,29.4,20.2,72.5,50.0,1617,22.8,6.4,4.5,-9.0,990.3,1003.2,1005.2,2244,1000.6,6,4.3,8.9,14.7,-9.0,25.29,3.28,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,129,1.2,1070,29,3.6,1455,27,5.8,1454,24.9,29.5,1312,21.0,252,20.8,27.8,19.2,79.1,57.0,1215,24.5,5.5,3.9,-9.0,1001.4,1004.3,1005.9,2257,1002.3,1,2.5,8.9,14.6,-9.0,22.98,3.1,1000,-9.0,20.6,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,24.6,22.7,21.2,16.0,15.2
20240701,130,1.6,1381,18,3.2,1041,20,6.7,2310,22.9,25.9,1539,19.3,130,20.3,28.2,17.9,86.3,71.0,1535,23.8,-9.0,-9.0,-9.0,998.2,1003.8,1007.7,2337,1000.3,7,3.1,11.6,14.7,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,131,1.1,989,27,2.7,1552,32,5.1,1549,27.5,32.4,1618,22.7,536,19.3,29.8,22.2,63.0,41.0,1619,22.4,6.9,4.8,-9.0,996.9,1003.5,1005.2,2327,1001.2,1,5.8,7.8,14.6,-9.0,25.02,3.86,1300,-9.0,51.6,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,133,1.2,1017,32,3.1,1556,34,5.8,1537,26.2,31.9,1700,21.5,255,20.3,29.7,19.7,72.4,45.0,1647,23.8,6.1,4.3,-9.0,996.4,1004.0,1005.8,2224,1001.7,2,4.9,8.7,14.6,-9.0,24.37,2.97,1300,-9.0,49.3,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.6,24.2,22.5,17.9,15.8
20240701,135,1.6,1390,25,3.5,1039,23,7.0,1244,24.9,30.5,1543,20.7,539,19.8,28.4,20.7,75.6,52.0,1512,23.1,6.5,4.5,-9.0,976.1,1003.5,1006.1,2247,1001.5,1,4.0,9.9,14.6,-9.0,25.87,3.17,1300,0.0,-9.0,-9.0,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,136,1.2,1016,27,2.9,1534,27,4.9,1316,26.2,31.5,1647,20.9,524,20.6,34.1,19.4,73.8,51.0,1423,24.3,6.9,4.8,-9.0,988.4,1004.2,1006.9,2312,1001.8,3,3.9,11.8,14.6,-9.0,28.25,3.39,1000,-9.0,13.8,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,137,1.0,876,23,2.7,1406,29,5.8,1215,26.4,31.8,1621,21.6,505,20.4,28.8,19.2,71.6,47.0,1648,24.0,6.3,4.4,-9.0,992.0,1002.8,1005.3,2255,1000.5,12,3.9,11.1,14.6,-9.0,26.2,3.51,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,138,2.1,1799,20,4.6,1235,20,7.5,1234,26.6,32.6,1516,21.1,221,19.9,28.9,19.9,69.6,40.0,1448,23.3,7.1,5.0,-9.0,1002.2,1002.6,1006.4,2340,1000.5,1,4.6,12.2,14.6,-9.0,26.71,3.51,1200,-9.0,14.8,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.7,21.0,19.5,16.8,15.8
20240701,140,1.7,1456,29,4.9,1524,29,6.6,1522,25.0,28.7,1502,22.1,616,22.1,28.7,21.5,85.0,66.0,1243,26.5,-9.0,-9.0,-9.0,1001.8,1005.0,1006.6,2225,1002.8,11,5.9,9.2,14.6,-9.0,-9.0,-9.0,-9,0.8,-9.0,-9.0,0.4,358,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,143,1.8,1535,27,3.5,1324,29,6.6,1319,28.0,32.5,1408,24.4,324,20.6,30.2,23.9,66.0,44.0,1353,24.3,6.1,4.3,-9.0,997.2,1003.3,1006.0,2316,1001.4,1,7.3,7.9,14.6,-9.0,22.74,3.16,1300,0.0,-9.0,0.17,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,146,1.2,1005,25,2.7,1856,27,4.6,1850,26.0,31.0,1527,22.7,327,21.5,28.1,21.6,78.0,50.0,1511,25.7,5.9,4.1,2.33,997.3,1004.1,1005.9,2217,1002.1,1,6.5,9.2,14.6,-9.0,22.97,2.98,1300,1.2,11.5,7.17,0.5,228,0.3,627,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,152,1.4,1223,27,3.5,2315,14,6.7,1432,26.0,30.2,1324,23.0,24,21.4,28.9,22.0,77.0,60.0,1452,25.5,5.4,3.8,-9.0,993.9,1003.0,1006.1,2334,1001.1,21,4.9,9.1,14.5,-9.0,23.54,3.5,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,155,1.7,1472,7,4.9,1312,18,7.1,1605,26.0,30.1,1530,22.8,531,22.9,28.7,22.4,84.3,65.0,1548,28.0,5.4,3.8,-9.0,1000.0,1004.0,1007.1,2327,1002.3,14,7.5,9.4,14.5,-9.0,23.45,2.92,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,156,1.3,1098,18,2.9,2400,27,5.5,224,26.0,30.0,1514,22.4,556,24.6,28.0,23.1,92.5,73.0,1524,30.9,5.3,3.7,-9.0,996.3,1004.2,1006.2,2227,1002.8,1,7.5,7.7,14.5,-9.0,22.91,3.95,1100,5.2,-9.0,2.9,3.9,145,1.5,206,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,159,3.4,2907,18,5.4,1341,18,7.6,1340,24.2,27.5,1410,21.6,1,21.5,29.1,21.3,85.5,70.0,1330,25.7,5.6,3.9,-9.0,995.6,1003.5,1006.5,2347,1001.7,151,6.1,9.9,14.5,-9.0,26.65,3.29,1300,0.1,27.2,0.7,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.8,21.9,20.4,17.2,16.9
20240701,162,2.0,1771,9,4.2,1521,16,7.2,1700,23.2,27.4,1330,21.3,652,21.6,29.1,21.9,91.3,75.0,1334,25.7,4.8,3.4,-9.0,1001.0,1004.5,1007.4,2331,1002.7,1,7.8,8.7,14.5,-9.0,24.01,3.28,1300,0.4,-9.0,-9.0,0.4,2301,0.4,2345,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240701,165,2.3,1947,16,4.9,2041,18,6.4,2039,24.3,27.5,1817,22.0,520,22.8,26.4,23.0,92.0,77.0,1659,27.7,4.1,2.9,0.27,999.4,1004.4,1006.0,2243,1003.1,145,8.5,3.5,14.5,-9.0,17.79,2.7,1200,5.8,16.7,7.63,4.9,2301,2.1,2324,-9.0,-9,-9.0,-9,-9.0,-9,23.8,22.8,20.7,18.0,15.8
20240701,168,3.7,3191,25,6.8,1726,25,9.0,1719,24.2,27.2,1458,22.2,321,22.5,27.9,21.8,90.6,77.0,1453,27.2,5.3,3.7,3.55,997.1,1004.6,1007.1,2233,1002.9,1,7.9,9.2,14.4,-9.0,25.38,3.51,1200,5.8,56.7,1.5,5.6,2251,1.5,2314,-9.0,-9,-9.0,-9,-9.0,-9,23.9,22.6,20.7,17.2,16.6
20240701,169,2.8,2459,14,8.7,2127,16,11.0,2119,23.3,26.8,1421,20.5,636,22.0,26.4,21.5,93.1,78.0,1405,26.4,3.8,2.6,9.38,995.4,1003.9,1005.1,1126,1002.6,225,9.3,1.8,14.4,-9.0,17.89,2.36,1400,5.5,-9.0,3.4,3.2,2219,1.4,2258,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
