STN_ID,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN_CD,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN,Admin_State,Admin_City,Admin_Dong,Admin_Full_Adress
202,127.49446,37.48863,24200,47.26,48.76,1.9,10,0.6,119,양평,Yangpyeong,11B20503,4183025021,----,경기도,양평군,양평읍,경기도 양평군 양평읍
203,127.48421,37.26399,24300,80.09,81.59,1.8,10,0.6,119,이천,Icheon,11B20701,4150025328,----,경기도,이천시,부발읍,경기도 이천시 부발읍
211,128.16811,38.05991,32100,202,203,1.5,10,0.5,105,인제,Inje,11D10201,5181025022,----,강원특별자치도,인제군,인제읍,강원특별자치도 인제군 인제읍
212,127.88043,37.6836,32200,140.2,141.2,1.6,13,0.5,101,홍천,Hongcheon,11D10302,5172025029,----,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍
216,128.98929,37.17038,36100,714.45,715.25,1.6,16,0.6,216,태백,Taebaek,11D20301,5119010100,----,강원특별자치도,태백시,황지동,강원특별자치도 태백시 황지동
217,128.67348,37.37732,32300,312,312,1.5,10,0.5,105,정선군,Jeongseon Gun,11D10502,5177025024,----,강원특별자치도,정선군,정선읍,강원특별자치도 정선군 정선읍
221,128.19433,37.15928,42200,264.62,265.39,1.5,10,0.5,131,제천,Jecheon,11C10201,4315011200,----,충청북도,제천시,용두동,충청북도 제천시 용두동
226,127.73415,36.48761,42300,171.31,172.71,1.5,10,0.5,131,보은,Boeun,11C10302,4372025030,----,충청북도,보은군,보은읍,충청북도 보은군 보은읍
232,127.29282,36.76217,46100,84.78,83,1.8,10,1.2,133,천안,Cheonan,11C20301,4413136022,----,충청남도,천안시 동남구,병천면,충청남도 천안시 동남구 병천면
235,126.55744,36.32724,46200,9.98,17,1.6,10,1.1,133,보령,Boryeong,11C20201,4418010900,----,충청남도,보령시,대천5동,충청남도 보령시 대천5동
236,126.92079,36.27242,46300,13.42,14.88,1.7,10,0.5,133,부여,Buyeo,11C20501,4476025033,----,충청남도,부여군,부여읍,충청남도 부여군 부여읍
238,127.48175,36.10563,46400,172.69,173.99,1.5,10,0.5,133,금산,Geumsan,11C20601,4471025025,----,충청남도,금산군,금산읍,충청남도 금산군 금산읍
239,127.24438,36.48522,45200,89.5,95,1.6,10,1,133,세종,sejong,11C20404,3611010800,----,세종특별자치시,세종시,새롬동,세종특별자치시 세종시 새롬동
243,126.71657,35.72961,52100,12.2,13.5,1.8,10,0.6,146,부안,Buan,21F10602,5280033021,----,전북특별자치도,부안군,행안면,전북특별자치도 부안군 행안면
244,127.28556,35.61203,52400,247.04,248.44,1.8,10,0.6,146,임실,Imsil,11F10402,5275025022,----,전북특별자치도,임실군,임실읍,전북특별자치도 임실군 임실읍
245,126.83904,35.56337,52200,68.7,70.97,1.9,10,1,146,정읍,Jeongeup,11F10203,5218010800,----,전북특별자치도,정읍시,상교동,전북특별자치도 정읍시 상교동
247,127.39652,35.4213,52300,133.49,91.8,1.7,10,0.7,146,남원,Namwon,11F10401,5219011600,----,전북특별자치도,남원시,도통동,전북특별자치도 남원시 도통동
248,127.52031,35.65696,52500,406.87,408,1.6,10,0.5,146,장수,Jangsu,11F10301,5274025023,----,전북특별자치도,장수군,장수읍,전북특별자치도 장수군 장수읍
